Date,New Doses: Residents,New Doses: Non-residents,New Partial Doses: Residents,New Partial Doses: Non-Residents,New Full Doses: Residents,New Full Doses: Non-residents,Cumulative Partial Doses: Residents,Cumulative Full Doses: Residents,Cumulative Partial Doses: Non-Residents,Cumulative Full Doses: Non-residents,Total Delivered,Doses Delivered: District Allocation,Doses Delivered: Federal Partnership,Doses Administered: District Allocation,Doses Administered: Federal Partnership,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,All Wards,Ward 1 65+,Ward 2 65+,Ward 3 65+,Ward 4 65+,Ward 5 65+,Ward 6 65+,Ward 7 65+,Ward 8 65+,Ward 1 65+ Partial,Ward 2 65+ Partial,Ward 3 65+ Partial,Ward 4 65+ Partial,Ward 5 65+ Partial,Ward 6 65+ Partial,Ward 7 65+ Partial,Ward 8 65+ Partial,All Wards 65+ Partial,Partially Vaccinated: 12-15,Partially Vaccinated: 16-19,Partially Vaccinated: 20-44,Partially Vaccinated: 46-64,Partially Vaccinated: 65+,Fully Vaccinated: 12-15,Fully Vaccinated: 16-19,Fully Vaccinated: 20-44,Fully Vaccinated: 46-64,Fully Vaccinated: 65+,Partially Vaccinated: Hispanic,Partially Vaccinated: Non-hispanic,Partially Vaccinated: Unknown Ethnicity,Fully Vaccinated: Hispanic,Fully Vaccinated: Non-hispanic,Fully Vaccinated: Unknown Ethnicity,Partially Vaccinated: White,Partially Vaccinated: Black,Partially Vaccinated: Asian,Partially Vaccinated: American Indian or Alaska Native,Partially Vaccinated: Native Hawaiian or Other Pacific Islander,Partially Vaccinated: Other Race,Partially Vaccinated: Unknown Race,Fully Vaccinated: White,Fully Vaccinated: Black,Fully Vaccinated: Asian,Fully Vaccinated: American Indian or Alaska Native,Fully Vaccinated: Native Hawaiian or Other Pacific Islander,Fully Vaccinated: Other Race,Fully Vaccinated: Unknown Race,16th St Heights,Cathedral Heights,Chevy Chase,Chinatown,Columbia Heights,Congress Heights/Shipley,DC Medical Center,Douglass,Eastland Gardens,Edgewood,Forest Hills,Adams Morgan,Fort Dupont,Fort Lincoln/Gateway,Georgetown,Georgetown East,GWU,Hill East,Historic Anacostia,Kent/Palisades,Kingman Park,Lamond Riggs,Barnaby Woods,Lincoln Heights,Logan Circle/Shaw,Marshall Heights,Michigan Park,Mount Pleasant,National Mall,Naval Station & Air Force,Naylor/Hillcrest,Petworth,Saint Elizabeths,Bellevue,Shepherd Park,South Columbia Heights,Stadium Armory,SW/Waterfront,Tenleytown,Trinidad,Twining,U St/Pleasant Plains,Union Station,Washington Highlands,Bloomingdale,Woodley Park,Woodridge,Brentwood,Brightwood,Brightwood Park,Capitol Hill,16th St Heights 65+,Cathedral Heights 65+,Chevy Chase 65+,Chinatown 65+,Columbia Heights 65+,Congress Heights/Shipley 65+,DC Medical Center 65+,Douglass 65+,Eastland Gardens 65+,Edgewood 65+,Forest Hills 65+,Adams Morgan 65+,Fort Dupont 65+,Fort Lincoln/Gateway 65+,Georgetown 65+,Georgetown East 65+,GWU 65+,Hill East 65+,Historic Anacostia 65+,Kent/Palisades 65+,Kingman Park 65+,Lamond Riggs 65+,Barnaby Woods 65+,Lincoln Heights 65+,Logan Circle/Shaw 65+,Marshall Heights 65+,Michigan Park 65+,Mount Pleasant 65+,National Mall 65+,Naval Station & Air Force 65+,Naylor/Hillcrest 65+,Petworth 65+,Saint Elizabeths 65+,Bellevue 65+,Shepherd Park 65+,South Columbia Heights 65+,Stadium Armory 65+,SW/Waterfront 65+,Tenleytown 65+,Trinidad 65+,Twining 65+,U St/Pleasant Plains 65+,Union Station 65+,Washington Highlands 65+,Bloomingdale 65+,Woodley Park 65+,Woodridge 65+,Brentwood 65+,Brightwood 65+,Brightwood Park 65+,Capitol Hill 65+
12/1/20,7,2,7,2,0,0,7,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/20,0,1,0,1,0,0,7,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/20,0,2,0,2,0,0,7,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/20,1,0,1,0,0,0,8,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/20,1,1,1,1,0,0,9,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/20,0,0,0,0,0,0,9,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/20,0,1,0,1,0,0,9,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/20,1,0,1,0,0,0,10,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/20,0,0,0,0,0,0,10,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/20,0,0,0,0,0,0,10,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
